"CT,C,11","CT_ST,C,2","PCSA,C,11","PCSA_ST,C,2","PCSA_L,C,30"
51059432300,VA,51059432202,VA,VA00_BURKE
51059432401,VA,51059432202,VA,VA00_BURKE
51059432402,VA,51059432202,VA,VA00_BURKE
51059432500,VA,51059432202,VA,VA00_BURKE
51059432600,VA,51059452400,VA,VA01_SPRINGFIELD
51059432701,VA,51059452400,VA,VA01_SPRINGFIELD
51059432702,VA,51059452400,VA,VA01_SPRINGFIELD
51059432800,VA,51059452400,VA,VA01_SPRINGFIELD
51059440100,VA,51059440201,VA,VA01_FALLS CHURCH
51059440201,VA,51059440201,VA,VA01_FALLS CHURCH
51059440202,VA,51059440201,VA,VA01_FALLS CHURCH
51059440300,VA,51059440201,VA,VA01_FALLS CHURCH
51059440501,VA,51059440201,VA,VA01_FALLS CHURCH
51059440502,VA,51059482602,VA,VA00_FAIRFAX
51059440600,VA,51059482602,VA,VA00_FAIRFAX
51059440701,VA,51059440201,VA,VA01_FALLS CHURCH
51059440702,VA,51059440201,VA,VA01_FALLS CHURCH
51059440800,VA,51059440201,VA,VA01_FALLS CHURCH
51059450100,VA,51059450300,VA,VA02_FALLS CHURCH
51059450200,VA,51059450300,VA,VA02_FALLS CHURCH
51059450300,VA,51059450300,VA,VA02_FALLS CHURCH
51059450400,VA,51059450300,VA,VA02_FALLS CHURCH
51059450500,VA,51059450300,VA,VA02_FALLS CHURCH
51059450601,VA,51059440201,VA,VA01_FALLS CHURCH
51059450602,VA,51059450300,VA,VA02_FALLS CHURCH
51059450701,VA,51059450701,VA,VA01_ANNANDALE
51059450702,VA,51059450701,VA,VA01_ANNANDALE
51059450800,VA,51059450701,VA,VA01_ANNANDALE
51059450900,VA,51059450300,VA,VA02_FALLS CHURCH
51059451000,VA,51059450701,VA,VA01_ANNANDALE
51059451100,VA,51059450300,VA,VA02_FALLS CHURCH
51059451200,VA,51059450300,VA,VA02_FALLS CHURCH
51059451300,VA,51059451300,VA,VA03_FALLS CHURCH
51059451400,VA,51059451300,VA,VA03_FALLS CHURCH
51059451501,VA,51059451300,VA,VA03_FALLS CHURCH
51059451502,VA,51510200201,VA,VA01_ALEXANDRIA
51059451601,VA,51510200201,VA,VA01_ALEXANDRIA
51059451602,VA,51059451300,VA,VA03_FALLS CHURCH
51059451800,VA,51510200201,VA,VA01_ALEXANDRIA
51059451900,VA,51510200201,VA,VA01_ALEXANDRIA
51059452000,VA,51059452000,VA,VA02_ANNANDALE
51059452101,VA,51059450701,VA,VA01_ANNANDALE
51059452102,VA,51059450701,VA,VA01_ANNANDALE
51059452200,VA,51059450701,VA,VA01_ANNANDALE
51059452301,VA,51059450701,VA,VA01_ANNANDALE
51059452302,VA,51059450701,VA,VA01_ANNANDALE
51059452400,VA,51059452400,VA,VA01_SPRINGFIELD
51059452501,VA,51059452400,VA,VA01_SPRINGFIELD
51059452502,VA,51510200201,VA,VA01_ALEXANDRIA
51059452600,VA,51510200201,VA,VA01_ALEXANDRIA
51059452700,VA,51510200201,VA,VA01_ALEXANDRIA
51059452801,VA,51510200201,VA,VA01_ALEXANDRIA
51059452802,VA,51510200201,VA,VA01_ALEXANDRIA
51059460100,VA,51059460800,VA,VA00_VIENNA
51059460200,VA,51059460800,VA,VA00_VIENNA
51059460300,VA,51059460800,VA,VA00_VIENNA
51059460400,VA,51059460800,VA,VA00_VIENNA
51059460501,VA,51059460800,VA,VA00_VIENNA
51059460502,VA,51059440201,VA,VA01_FALLS CHURCH
51059460600,VA,51059460800,VA,VA00_VIENNA
51059460701,VA,51059460800,VA,VA00_VIENNA
51059460702,VA,51059460800,VA,VA00_VIENNA
51059460800,VA,51059460800,VA,VA00_VIENNA
51059460900,VA,51059460800,VA,VA00_VIENNA
51059461000,VA,51059460800,VA,VA00_VIENNA
51059461100,VA,51059460800,VA,VA00_VIENNA
51059461201,VA,51059482602,VA,VA00_FAIRFAX
51059461202,VA,51059482602,VA,VA00_FAIRFAX
51059461500,VA,51059460800,VA,VA00_VIENNA
51059461601,VA,51059440201,VA,VA01_FALLS CHURCH
51059461602,VA,51059440201,VA,VA01_FALLS CHURCH
51059461700,VA,51059440201,VA,VA01_FALLS CHURCH
51059461801,VA,51059482602,VA,VA00_FAIRFAX
51059461802,VA,51059482602,VA,VA00_FAIRFAX
51059461901,VA,51059440201,VA,VA01_FALLS CHURCH
51059461902,VA,51059482602,VA,VA00_FAIRFAX
51059470100,VA,51059470400,VA,VA00_MC LEAN
51059470300,VA,51013100900,VA,VA01_ARLINGTON
51059470400,VA,51059470400,VA,VA00_MC LEAN
51059470500,VA,51059470400,VA,VA00_MC LEAN
51059470600,VA,51059470400,VA,VA00_MC LEAN
51059470700,VA,51059470400,VA,VA00_MC LEAN
51059470800,VA,51059470400,VA,VA00_MC LEAN
51059470900,VA,51059470400,VA,VA00_MC LEAN
51059471000,VA,51059470400,VA,VA00_MC LEAN
51059471100,VA,51059470400,VA,VA00_MC LEAN
51059471201,VA,51059470400,VA,VA00_MC LEAN
51059471202,VA,51059470400,VA,VA00_MC LEAN
51059471301,VA,51059440201,VA,VA01_FALLS CHURCH
51059471303,VA,51059440201,VA,VA01_FALLS CHURCH
51059471304,VA,51059440201,VA,VA01_FALLS CHURCH
51059471401,VA,51059450300,VA,VA02_FALLS CHURCH
51059471402,VA,51059440201,VA,VA01_FALLS CHURCH
51059480100,VA,51059482203,VA,VA00_RESTON
51059480201,VA,51059470400,VA,VA00_MC LEAN
51059480202,VA,51059470400,VA,VA00_MC LEAN
51059480203,VA,51059470400,VA,VA00_MC LEAN
